student_id,name,password,role,active
FACULTY,Faculty Lead,faculty-demo,instructor,yes
MBA01,Student 01,kite-17,student,yes
MBA02,Student 02,pine-24,student,yes
MBA03,Student 03,oak-31,student,yes
MBA04,Student 04,maple-38,student,yes
MBA05,Student 05,cedar-45,student,yes
MBA06,Student 06,coral-52,student,yes
MBA07,Student 07,amber-59,student,yes
MBA08,Student 08,jade-66,student,yes
MBA09,Student 09,slate-73,student,yes
MBA10,Student 10,river-80,student,yes
MBA11,Student 11,kite-87,student,yes
MBA12,Student 12,pine-94,student,yes
MBA13,Student 13,oak-12,student,yes
MBA14,Student 14,maple-19,student,yes
MBA15,Student 15,cedar-26,student,yes
MBA16,Student 16,coral-33,student,yes
MBA17,Student 17,amber-40,student,yes
MBA18,Student 18,jade-47,student,yes
MBA19,Student 19,slate-54,student,yes
MBA20,Student 20,river-61,student,yes
MBA21,Student 21,kite-68,student,yes
MBA22,Student 22,pine-75,student,yes
MBA23,Student 23,oak-82,student,yes
MBA24,Student 24,maple-89,student,yes
MBA25,Student 25,cedar-96,student,yes
MBA26,Student 26,coral-14,student,yes
MBA27,Student 27,amber-21,student,yes
MBA28,Student 28,jade-28,student,yes
MBA29,Student 29,slate-35,student,yes
MBA30,Student 30,river-42,student,yes
MBA31,Student 31,kite-49,student,yes
MBA32,Student 32,pine-56,student,yes
MBA33,Student 33,oak-63,student,yes
MBA34,Student 34,maple-70,student,yes
MBA35,Student 35,cedar-77,student,yes
MBA36,Student 36,coral-84,student,yes
MBA37,Student 37,amber-91,student,yes
MBA38,Student 38,jade-98,student,yes
MBA39,Student 39,slate-16,student,yes
MBA40,Student 40,river-23,student,yes
MBA41,Student 41,kite-30,student,yes
MBA42,Student 42,pine-37,student,yes
MBA43,Student 43,oak-44,student,yes
MBA44,Student 44,maple-51,student,yes
MBA45,Student 45,cedar-58,student,yes
MBA46,Student 46,coral-65,student,yes
MBA47,Student 47,amber-72,student,yes
MBA48,Student 48,jade-79,student,yes
MBA49,Student 49,slate-86,student,yes
MBA50,Student 50,river-93,student,yes
MBA51,Student 51,kite-11,student,yes
MBA52,Student 52,pine-18,student,yes
MBA53,Student 53,oak-25,student,yes
MBA54,Student 54,maple-32,student,yes
MBA55,Student 55,cedar-39,student,yes
MBA56,Student 56,coral-46,student,yes
MBA57,Student 57,amber-53,student,yes
MBA58,Student 58,jade-60,student,yes
MBA59,Student 59,slate-67,student,yes
MBA60,Student 60,river-74,student,yes
